GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:42:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01901,20:42:52,6172,20:58:25,7105,00:15:33,933
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01916,20:43:33,6213,20:58:26,7106,00:14:53,893
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01930,20:44:11,6251,20:58:28,7108,00:14:17,857
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01944,20:44:58,6298,20:58:29,7109,00:13:31,811
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:42:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01904,20:42:59,6179,20:58:31,7111,00:15:32,932
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01917,20:43:38,6218,20:58:32,7112,00:14:54,894
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01910,20:43:18,6198,20:58:34,7114,00:15:16,916
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01905,20:43:02,6182,20:58:35,7115,00:15:33,933
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01912,20:43:22,6202,20:58:37,7117,00:15:15,915
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01914,20:43:28,6208,20:58:38,7118,00:15:10,910
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01919,20:43:43,6223,20:58:40,7120,00:14:57,897
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01913,20:43:26,6206,20:58:41,7121,00:15:15,915
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01952,20:45:23,6323,20:58:43,7123,00:13:20,800
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01920,20:43:44,6224,20:58:44,7124,00:15:00,900
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01927,20:44:07,6247,20:58:46,7126,00:14:39,879
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:43:00" "total":17 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01925,20:43:56,6236,20:58:47,7127,00:14:51,891
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01929,20:44:10,6250,20:58:49,7129,00:14:39,879
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01928,20:44:08,6248,20:58:50,7130,00:14:42,882
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01932,20:44:15,6255,20:58:51,7131,00:14:36,876
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01934,20:44:23,6263,20:58:53,7133,00:14:30,870
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01935,20:44:24,6264,20:58:54,7134,00:14:30,870
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01931,20:44:13,6253,20:58:56,7136,00:14:43,883
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:37:00" "total":2 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01784,20:37:17,5837,20:59:45,7185,00:22:28,1348
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:38:00" "total":2 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01812,20:38:26,5906,20:59:48,7188,00:21:22,1282
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01938,20:44:35,6275,21:00:25,7225,00:15:50,950
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01937,20:44:33,6273,21:00:27,7227,00:15:54,954
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01945,20:44:59,6299,21:00:29,7229,00:15:30,930
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01936,20:44:32,6272,21:00:31,7231,00:15:59,959
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01947,20:45:07,6307,21:00:33,7233,00:15:26,926
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01941,20:44:55,6295,21:00:34,7234,00:15:39,939
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01960,20:45:48,6348,21:00:36,7236,00:14:48,888
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01940,20:44:49,6289,21:00:38,7238,00:15:49,949
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01948,20:45:08,6308,21:00:40,7240,00:15:32,932
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01968,20:46:10,6370,21:00:41,7241,00:14:31,871
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:44:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01943,20:44:57,6297,21:00:43,7243,00:15:46,946
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01949,20:45:10,6310,21:00:45,7245,00:15:35,935
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01964,20:45:56,6356,21:00:46,7246,00:14:50,890
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01954,20:45:28,6328,21:00:48,7248,00:15:20,920
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01971,20:46:17,6377,21:00:50,7250,00:14:33,873
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01976,20:46:27,6387,21:00:51,7251,00:14:24,864
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01950,20:45:20,6320,21:00:53,7253,00:15:33,933
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01946,20:45:06,6306,21:00:54,7254,00:15:48,948
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01951,20:45:22,6322,21:00:56,7256,00:15:34,934
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01958,20:45:45,6345,21:00:58,7258,00:15:13,913
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01957,20:45:42,6342,21:00:59,7259,00:15:17,917
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01962,20:45:54,6354,21:01:01,7261,00:15:07,907
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01961,20:45:52,6352,21:01:02,7262,00:15:10,910
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01966,20:46:02,6362,21:01:04,7264,00:15:02,902
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01963,20:45:55,6355,21:01:06,7266,00:15:11,911
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01969,20:46:11,6371,21:01:07,7267,00:14:56,896
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:45:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01965,20:45:57,6357,21:01:09,7269,00:15:12,912
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01975,20:46:25,6385,21:01:10,7270,00:14:45,885
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01974,20:46:23,6383,21:01:12,7272,00:14:49,889
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01986,20:46:55,6415,21:01:14,7274,00:14:19,859
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01967,20:46:06,6366,21:01:15,7275,00:15:09,909
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01985,20:46:54,6414,21:01:17,7277,00:14:23,863
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01970,20:46:12,6372,21:01:18,7278,00:15:06,906
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01987,20:47:00,6420,21:01:20,7280,00:14:20,860
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01973,20:46:21,6381,21:01:21,7281,00:15:00,900
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01977,20:46:32,6392,21:01:23,7283,00:14:51,891
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01988,20:47:01,6421,21:01:24,7284,00:14:23,863
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01981,20:46:48,6408,21:01:26,7286,00:14:38,878
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02016,20:48:36,6516,21:01:28,7288,00:12:52,772
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:49:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02034,20:49:18,6558,21:01:29,7289,00:12:11,731
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01983,20:46:50,6410,21:01:31,7291,00:14:41,881
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01997,20:47:31,6451,21:01:32,7292,00:14:01,841
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:46:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01982,20:46:49,6409,21:01:34,7294,00:14:45,885
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01990,20:47:07,6427,21:01:35,7295,00:14:28,868
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:47:00" "total":5 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01996,20:47:25,6445,21:01:40,7300,00:14:15,855
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01992,20:47:10,6430,21:01:41,7301,00:14:31,871
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01993,20:47:14,6434,21:01:43,7303,00:14:29,869
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:49:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02044,20:49:49,6589,21:01:44,7304,00:11:55,715
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02002,20:47:45,6465,21:01:46,7306,00:14:01,841
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02027,20:48:57,6537,21:01:47,7307,00:12:50,770
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01991,20:47:08,6428,21:01:49,7309,00:14:41,881
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02007,20:47:58,6478,21:01:50,7310,00:13:52,832
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02001,20:47:43,6463,21:01:52,7312,00:14:09,849
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01995,20:47:23,6443,21:01:53,7313,00:14:30,870
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01999,20:47:39,6459,21:01:55,7315,00:14:16,856
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02004,20:47:53,6473,21:01:56,7316,00:14:03,843
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02000,20:47:41,6461,21:01:58,7318,00:14:17,857
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02006,20:47:54,6474,21:01:59,7319,00:14:05,845
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02009,20:48:05,6485,21:02:01,7321,00:13:56,836
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:47:00" "total":16 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02003,20:47:50,6470,21:02:02,7322,00:14:12,852
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:47:00" "total":5 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01998,20:47:32,6452,21:02:05,7325,00:14:33,873
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02011,20:48:14,6494,21:02:06,7326,00:13:52,832
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:47:00" "total":5 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02005,20:47:53,6473,21:02:09,7329,00:14:16,856
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02017,20:48:39,6519,21:02:10,7330,00:13:31,811
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02010,20:48:06,6486,21:02:12,7332,00:14:06,846
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02013,20:48:18,6498,21:02:13,7333,00:13:55,835
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:50:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02058,20:50:16,6616,21:02:15,7335,00:11:59,719
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02024,20:48:52,6532,21:02:16,7336,00:13:24,804
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:48:00" "total":5 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02008,20:48:00,6480,21:02:18,7338,00:14:18,858
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02012,20:48:16,6496,21:02:20,7340,00:14:04,844
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02020,20:48:42,6522,21:02:21,7341,00:13:39,819
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02025,20:48:53,6533,21:02:23,7343,00:13:30,810
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:48:00" "total":5 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02014,20:48:19,6499,21:02:25,7345,00:14:06,846
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02026,20:48:55,6535,21:02:26,7346,00:13:31,811
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_SignalFollow"} "startTime":"20:48:00" "total":5 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02019,20:48:41,6521,21:02:28,7348,00:13:47,827
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02015,20:48:35,6515,21:02:30,7350,00:13:55,835
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Route2"} "startTime":"20:50:00" "total":1 "duration":1 "startPlace":"SL_GPS" "goal":"EXIT_GPS" "conditions":["INDEXA_R2_110"]},ag02050,20:50:00,6600,21:03:20,7400,00:13:20,800
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:49:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02033,20:49:16,6556,21:03:55,7435,00:14:39,879
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:49:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02029,20:49:04,6544,21:03:57,7437,00:14:53,893
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:48:00" "total":15 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag02022,20:48:48,6528,21:04:00,7440,00:15:12,912
